# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T23:50:36.338
# DATE-END: 2025-01-20T23:50:37.397
# TSTART: 1737417036338.32
# TSTOP: 1737417037338.32
# DATE: 2025-01-20T23:50:39
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.6315083712965
# DEC: 21.5178161250706
# EQUINOX: 2000.0
# CRVAL1: 83.6315083712965
# CRVAL2: 21.5178161250706
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000804106004944824
# CD1_2: -0.00164080689359706
# CD2_1: 0.00163923523481673
# CD2_2: -0.000803909906872013
# A_ORDER: 2
# A_0_2: -3.32813655509403e-07
# A_1_1: 1.11071604335115e-07
# A_2_0: -1.79366438534841e-07
# B_ORDER: 2
# B_0_2: 1.47668306052186e-07
# B_1_1: -8.17304777848152e-08
# B_2_0: 3.52944889733423e-08
# AP_ORDER: 2
# AP_0_0: 9.19954632146632e-07
# AP_0_1: -1.6647716328373e-07
# AP_0_2: 3.32813733267642e-07
# AP_1_0: 1.76651607338034e-07
# AP_1_1: -1.11071835835347e-07
# AP_2_0: 1.79364919513343e-07
# BP_ORDER: 2
# BP_0_0: -8.71937242482209e-08
# BP_0_1: 7.99033067868084e-08
# BP_0_2: -1.47668702668873e-07
# BP_1_0: -4.86040894820372e-08
# BP_1_1: 8.17303978456795e-08
# BP_2_0: -3.52942331591523e-08
# NOME_FILE_FITS: 20250120_235036.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_3_stelle_trovate_e_catalogate_immagine_118.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_81.044__DEC_23.111,2903.323001046421,1804.67485091156,81.04204379622864,23.11052977626953,3.0,8.0,NO,96,70.09913695508055,73.11725956427765,77.91,1.47,73.11725956427765,77.91,1.47,12.181304763495724,17.83,1.79,3.5,3,118,SI (Rank 1),II/389/ps1_dr2,1.3573081043251136e+17,81.04307607,23.10879962,10.3589,73.12,77.91,1.47,3.5
RA_81.044__DEC_23.111,2903.323001046421,1804.67485091156,81.04204379622864,23.11052977626953,3.0,8.0,NO,96,70.09913695508055,73.11725956427765,77.91,1.47,73.11725956427765,77.91,1.47,12.181304763495724,17.83,1.79,3.5,3,118,SI (Rank 2),II/389/ps1_dr2,1.3573081043535168e+17,81.0432864,23.10934006,10.8043,73.12,77.91,1.47,3.5
RA_81.080__DEC_22.307,2501.7931268674897,1988.9512281270136,81.07851284004752,22.30576693255609,32.0,33.0,NO,235,385.5486435238571,310.5679687112297,256.46,1.67,313.66269907464994,257.63,1.74,282.43258768247927,236.27,1.63,4.024623491678451,3,118,SI (Rank 1),I/239/hip_main,25274.0,81.0798547703,22.3056335726,8.8,312.42,263.07,1.53,3.99
RA_81.080__DEC_22.307,2501.7931268674897,1988.9512281270136,81.07851284004752,22.30576693255609,32.0,33.0,NO,235,385.5486435238571,310.5679687112297,256.46,1.67,313.66269907464994,257.63,1.74,282.43258768247927,236.27,1.63,4.024623491678451,3,118,SI (Rank 2),II/389/ps1_dr2,1.3476081080494627e+17,81.08058303,22.30488174,14.746,312.42,263.07,1.53,3.99
RA_81.211__DEC_22.974,2797.361751743113,1763.577289178211,81.20997314517426,22.97281307339975,15.0,17.0,NO,220,156.6762420840846,140.46909470615114,137.09,1.14,140.46909470615114,137.17,1.15,104.51379801951326,104.12,1.26,3.5,3,118,SI (Rank 1),I/239/hip_main,25312.0,81.2111315854,22.9720685033,9.44,140.47,137.09,1.13,3.5
RA_81.211__DEC_22.974,2797.361751743113,1763.577289178211,81.20997314517426,22.97281307339975,15.0,17.0,NO,220,156.6762420840846,140.46909470615114,137.09,1.14,140.46909470615114,137.17,1.15,104.51379801951326,104.12,1.26,3.5,3,118,SI (Rank 2),II/389/ps1_dr2,1.3556081211485709e+17,81.21149592,22.97210599,9.6822,140.47,137.09,1.13,3.5
RA_81.211__DEC_22.974,2797.361751743113,1763.577289178211,81.20997314517426,22.97281307339975,15.0,17.0,NO,220,156.6762420840846,140.46909470615114,137.09,1.14,140.46909470615114,137.17,1.15,104.51379801951326,104.12,1.26,3.5,3,118,SI (Rank 3),II/389/ps1_dr2,1.3556081211057662e+17,81.21100762,22.97186638,11.2548,140.47,137.09,1.13,3.5
RA_81.225__DEC_22.100,2367.069814155063,1973.6641626150367,81.22589071296616,22.09967916591284,27.0,25.0,NO,235,342.53222086105137,238.57283730807964,240.80,1.95,241.84887202712403,243.59,2.06,198.38207012984452,200.76,1.62,3.9758895553532674,3,118,SI (Rank 1),II/389/ps1_dr2,1.3451081224623896e+17,81.22474602,22.09873162,10.418,252.64,256.57,1.51,4.3
RA_81.225__DEC_22.100,2367.069814155063,1973.6641626150367,81.22589071296616,22.09967916591284,27.0,25.0,NO,235,342.53222086105137,238.57283730807964,240.80,1.95,241.84887202712403,243.59,2.06,198.38207012984452,200.76,1.62,3.9758895553532674,3,118,SI (Rank 2),II/389/ps1_dr2,1.3451081224997904e+17,81.22481575,22.09893491,11.1967,252.64,256.57,1.51,4.3
RA_81.225__DEC_22.100,2367.069814155063,1973.6641626150367,81.22589071296616,22.09967916591284,27.0,25.0,NO,235,342.53222086105137,238.57283730807964,240.80,1.95,241.84887202712403,243.59,2.06,198.38207012984452,200.76,1.62,3.9758895553532674,3,118,SI (Rank 3),II/389/ps1_dr2,1.3452081227914675e+17,81.22793313535,22.10515689825,13.307,252.64,256.57,1.51,4.3
